Pair 0[1]: Avg MSE: 547.87, Avg SSIM: 0.87
Pair 41[1]: Avg MSE: 70.38, Avg SSIM: 0.95
Pair 41[2]: Avg MSE: 73.77, Avg SSIM: 0.95
Pair 41[3]: Avg MSE: 76.74, Avg SSIM: 0.95
Pair 41[4]: Avg MSE: 79.21, Avg SSIM: 0.95
Pair 41[5]: Avg MSE: 81.31, Avg SSIM: 0.94
Pair 41[6]: Avg MSE: 83.59, Avg SSIM: 0.94
Pair 41[7]: Avg MSE: 85.98, Avg SSIM: 0.94
Pair 41[8]: Avg MSE: 88.69, Avg SSIM: 0.94
Pair 41[9]: Avg MSE: 90.95, Avg SSIM: 0.94
Pair 41[10]: Avg MSE: 92.49, Avg SSIM: 0.94
Pair 42[1]: Avg MSE: 238.25, Avg SSIM: 0.90
Pair 42[2]: Avg MSE: 253.35, Avg SSIM: 0.90
Pair 42[3]: Avg MSE: 267.19, Avg SSIM: 0.90
Pair 42[4]: Avg MSE: 277.75, Avg SSIM: 0.90
Pair 42[5]: Avg MSE: 288.51, Avg SSIM: 0.89
Pair 42[6]: Avg MSE: 300.25, Avg SSIM: 0.89
Pair 42[7]: Avg MSE: 312.79, Avg SSIM: 0.89
Pair 42[8]: Avg MSE: 325.58, Avg SSIM: 0.89
Pair 42[9]: Avg MSE: 335.39, Avg SSIM: 0.89
Pair 42[10]: Avg MSE: 344.61, Avg SSIM: 0.89
Pair 43[1]: Avg MSE: 189.83, Avg SSIM: 0.93
Pair 43[2]: Avg MSE: 194.56, Avg SSIM: 0.93
Pair 43[3]: Avg MSE: 198.63, Avg SSIM: 0.93
Pair 43[4]: Avg MSE: 203.87, Avg SSIM: 0.92
Pair 43[5]: Avg MSE: 208.52, Avg SSIM: 0.92
Pair 43[6]: Avg MSE: 212.22, Avg SSIM: 0.92
Pair 43[7]: Avg MSE: 215.05, Avg SSIM: 0.92
Pair 43[8]: Avg MSE: 219.06, Avg SSIM: 0.92
Pair 43[9]: Avg MSE: 223.83, Avg SSIM: 0.92
Pair 43[10]: Avg MSE: 227.53, Avg SSIM: 0.92
Pair 44[1]: Avg MSE: 338.09, Avg SSIM: 0.90
Pair 44[2]: Avg MSE: 352.55, Avg SSIM: 0.90
Pair 44[3]: Avg MSE: 366.79, Avg SSIM: 0.90
Pair 44[4]: Avg MSE: 377.26, Avg SSIM: 0.90
Pair 44[5]: Avg MSE: 390.61, Avg SSIM: 0.90
Pair 44[6]: Avg MSE: 404.56, Avg SSIM: 0.90
Pair 44[7]: Avg MSE: 419.07, Avg SSIM: 0.90
Pair 44[8]: Avg MSE: 432.77, Avg SSIM: 0.90
Pair 44[9]: Avg MSE: 443.36, Avg SSIM: 0.90
Pair 44[10]: Avg MSE: 453.86, Avg SSIM: 0.89
Pair 45[1]: Avg MSE: 355.91, Avg SSIM: 0.89
Pair 45[2]: Avg MSE: 368.70, Avg SSIM: 0.89
Pair 45[3]: Avg MSE: 380.03, Avg SSIM: 0.89
Pair 45[4]: Avg MSE: 390.05, Avg SSIM: 0.89
Pair 45[5]: Avg MSE: 402.05, Avg SSIM: 0.89
Pair 45[6]: Avg MSE: 411.85, Avg SSIM: 0.89
Pair 45[7]: Avg MSE: 421.98, Avg SSIM: 0.89
Pair 45[8]: Avg MSE: 431.70, Avg SSIM: 0.88
Pair 45[9]: Avg MSE: 439.74, Avg SSIM: 0.88
Pair 45[10]: Avg MSE: 446.65, Avg SSIM: 0.88
Pair 46[1]: Avg MSE: 252.26, Avg SSIM: 0.90
Pair 46[2]: Avg MSE: 260.29, Avg SSIM: 0.89
Pair 46[3]: Avg MSE: 266.13, Avg SSIM: 0.89
Pair 46[4]: Avg MSE: 272.48, Avg SSIM: 0.89
Pair 46[5]: Avg MSE: 279.75, Avg SSIM: 0.89
Pair 46[6]: Avg MSE: 285.62, Avg SSIM: 0.89
Pair 46[7]: Avg MSE: 292.31, Avg SSIM: 0.89
Pair 46[8]: Avg MSE: 299.90, Avg SSIM: 0.89
Pair 46[9]: Avg MSE: 305.54, Avg SSIM: 0.89
Pair 46[10]: Avg MSE: 311.28, Avg SSIM: 0.89
Pair 47[1]: Avg MSE: 220.63, Avg SSIM: 0.93
Pair 47[2]: Avg MSE: 228.75, Avg SSIM: 0.93
Pair 47[3]: Avg MSE: 235.56, Avg SSIM: 0.93
Pair 47[4]: Avg MSE: 242.92, Avg SSIM: 0.93
Pair 47[5]: Avg MSE: 249.08, Avg SSIM: 0.93
Pair 47[6]: Avg MSE: 255.02, Avg SSIM: 0.93
Pair 47[7]: Avg MSE: 260.47, Avg SSIM: 0.92
Pair 47[8]: Avg MSE: 266.47, Avg SSIM: 0.92
Pair 47[9]: Avg MSE: 271.59, Avg SSIM: 0.92
Pair 47[10]: Avg MSE: 276.24, Avg SSIM: 0.92
Pair 48[1]: Avg MSE: 172.99, Avg SSIM: 0.94
Pair 48[2]: Avg MSE: 180.21, Avg SSIM: 0.94
Pair 48[3]: Avg MSE: 185.36, Avg SSIM: 0.94
Pair 48[4]: Avg MSE: 190.49, Avg SSIM: 0.94
Pair 48[5]: Avg MSE: 196.82, Avg SSIM: 0.94
Pair 48[6]: Avg MSE: 201.34, Avg SSIM: 0.93
Pair 48[7]: Avg MSE: 206.73, Avg SSIM: 0.93
Pair 48[8]: Avg MSE: 213.01, Avg SSIM: 0.93
Pair 48[9]: Avg MSE: 218.32, Avg SSIM: 0.93
Pair 48[10]: Avg MSE: 223.26, Avg SSIM: 0.93
Pair 49[1]: Avg MSE: 221.96, Avg SSIM: 0.91
Pair 49[2]: Avg MSE: 232.05, Avg SSIM: 0.91
Pair 49[3]: Avg MSE: 241.28, Avg SSIM: 0.91
Pair 49[4]: Avg MSE: 249.42, Avg SSIM: 0.91
Pair 49[5]: Avg MSE: 257.34, Avg SSIM: 0.91
Pair 49[6]: Avg MSE: 265.69, Avg SSIM: 0.90
Pair 49[7]: Avg MSE: 272.93, Avg SSIM: 0.90
Pair 49[8]: Avg MSE: 281.71, Avg SSIM: 0.90
Pair 49[9]: Avg MSE: 287.81, Avg SSIM: 0.90
Pair 49[10]: Avg MSE: 293.59, Avg SSIM: 0.90
Pair 50[1]: Avg MSE: 83.75, Avg SSIM: 0.94
Pair 50[2]: Avg MSE: 88.78, Avg SSIM: 0.94
Pair 50[3]: Avg MSE: 92.65, Avg SSIM: 0.94
Pair 50[4]: Avg MSE: 96.16, Avg SSIM: 0.93
Pair 50[5]: Avg MSE: 99.87, Avg SSIM: 0.93
Pair 50[6]: Avg MSE: 102.71, Avg SSIM: 0.93
Pair 50[7]: Avg MSE: 106.37, Avg SSIM: 0.93
Pair 50[8]: Avg MSE: 110.48, Avg SSIM: 0.93
Pair 50[9]: Avg MSE: 114.02, Avg SSIM: 0.93
Pair 50[10]: Avg MSE: 116.84, Avg SSIM: 0.93
Pair 51[1]: Avg MSE: 540.91, Avg SSIM: 0.89
Pair 51[2]: Avg MSE: 556.32, Avg SSIM: 0.89
Pair 51[3]: Avg MSE: 572.34, Avg SSIM: 0.89
Pair 51[4]: Avg MSE: 584.16, Avg SSIM: 0.89
Pair 51[5]: Avg MSE: 598.74, Avg SSIM: 0.89
Pair 51[6]: Avg MSE: 613.63, Avg SSIM: 0.89
Pair 51[7]: Avg MSE: 625.63, Avg SSIM: 0.89
Pair 51[8]: Avg MSE: 637.35, Avg SSIM: 0.89
Pair 51[9]: Avg MSE: 650.56, Avg SSIM: 0.89
Pair 51[10]: Avg MSE: 658.20, Avg SSIM: 0.89
Pair 52[1]: Avg MSE: 290.61, Avg SSIM: 0.88
Pair 52[2]: Avg MSE: 305.47, Avg SSIM: 0.88
Pair 52[3]: Avg MSE: 319.29, Avg SSIM: 0.88
Pair 52[4]: Avg MSE: 329.48, Avg SSIM: 0.88
Pair 52[5]: Avg MSE: 341.07, Avg SSIM: 0.88
Pair 52[6]: Avg MSE: 354.57, Avg SSIM: 0.88
Pair 52[7]: Avg MSE: 367.68, Avg SSIM: 0.88
Pair 52[8]: Avg MSE: 381.87, Avg SSIM: 0.88
Pair 52[9]: Avg MSE: 391.56, Avg SSIM: 0.87
Pair 52[10]: Avg MSE: 400.65, Avg SSIM: 0.87
Pair 53[1]: Avg MSE: 284.03, Avg SSIM: 0.89
Pair 53[2]: Avg MSE: 296.65, Avg SSIM: 0.89
Pair 53[3]: Avg MSE: 309.87, Avg SSIM: 0.89
Pair 53[4]: Avg MSE: 319.25, Avg SSIM: 0.89
Pair 53[5]: Avg MSE: 330.41, Avg SSIM: 0.89
Pair 53[6]: Avg MSE: 344.36, Avg SSIM: 0.89
Pair 53[7]: Avg MSE: 358.32, Avg SSIM: 0.89
Pair 53[8]: Avg MSE: 371.21, Avg SSIM: 0.89
Pair 53[9]: Avg MSE: 380.03, Avg SSIM: 0.89
Pair 53[10]: Avg MSE: 389.90, Avg SSIM: 0.88
Pair 54[1]: Avg MSE: 378.78, Avg SSIM: 0.88
Pair 54[2]: Avg MSE: 400.95, Avg SSIM: 0.88
Pair 54[3]: Avg MSE: 423.33, Avg SSIM: 0.88
Pair 54[4]: Avg MSE: 443.56, Avg SSIM: 0.88
Pair 54[5]: Avg MSE: 466.71, Avg SSIM: 0.88
Pair 54[6]: Avg MSE: 489.34, Avg SSIM: 0.87
Pair 54[7]: Avg MSE: 509.33, Avg SSIM: 0.87
Pair 54[8]: Avg MSE: 528.28, Avg SSIM: 0.87
Pair 54[9]: Avg MSE: 544.02, Avg SSIM: 0.87
Pair 54[10]: Avg MSE: 561.75, Avg SSIM: 0.87
Pair 55[1]: Avg MSE: 546.60, Avg SSIM: 0.87
Pair 55[2]: Avg MSE: 556.69, Avg SSIM: 0.86
Pair 55[3]: Avg MSE: 566.81, Avg SSIM: 0.86
Pair 55[4]: Avg MSE: 578.81, Avg SSIM: 0.86
Pair 55[5]: Avg MSE: 592.04, Avg SSIM: 0.86
Pair 55[6]: Avg MSE: 604.33, Avg SSIM: 0.86
Pair 55[7]: Avg MSE: 615.33, Avg SSIM: 0.86
Pair 55[8]: Avg MSE: 626.46, Avg SSIM: 0.86
Pair 55[9]: Avg MSE: 635.44, Avg SSIM: 0.86
Pair 55[10]: Avg MSE: 645.81, Avg SSIM: 0.85
Pair 56[1]: Avg MSE: 119.19, Avg SSIM: 0.95
Pair 56[2]: Avg MSE: 124.53, Avg SSIM: 0.95
Pair 56[3]: Avg MSE: 128.68, Avg SSIM: 0.95
Pair 56[4]: Avg MSE: 132.99, Avg SSIM: 0.95
Pair 56[5]: Avg MSE: 137.38, Avg SSIM: 0.95
Pair 56[6]: Avg MSE: 140.33, Avg SSIM: 0.95
Pair 56[7]: Avg MSE: 144.37, Avg SSIM: 0.95
Pair 56[8]: Avg MSE: 149.08, Avg SSIM: 0.95
Pair 56[9]: Avg MSE: 153.40, Avg SSIM: 0.95
Pair 56[10]: Avg MSE: 155.52, Avg SSIM: 0.95
Pair 57[1]: Avg MSE: 128.29, Avg SSIM: 0.95
Pair 57[2]: Avg MSE: 132.11, Avg SSIM: 0.95
Pair 57[3]: Avg MSE: 134.86, Avg SSIM: 0.95
Pair 57[4]: Avg MSE: 138.71, Avg SSIM: 0.95
Pair 57[5]: Avg MSE: 141.04, Avg SSIM: 0.95
Pair 57[6]: Avg MSE: 143.36, Avg SSIM: 0.95
Pair 57[7]: Avg MSE: 146.05, Avg SSIM: 0.95
Pair 57[8]: Avg MSE: 151.10, Avg SSIM: 0.95
Pair 57[9]: Avg MSE: 154.41, Avg SSIM: 0.95
Pair 57[10]: Avg MSE: 155.93, Avg SSIM: 0.94
Pair 58[1]: Avg MSE: 264.65, Avg SSIM: 0.91
Pair 58[2]: Avg MSE: 272.09, Avg SSIM: 0.90
Pair 58[3]: Avg MSE: 279.08, Avg SSIM: 0.90
Pair 58[4]: Avg MSE: 286.40, Avg SSIM: 0.90
Pair 58[5]: Avg MSE: 292.98, Avg SSIM: 0.90
Pair 58[6]: Avg MSE: 299.43, Avg SSIM: 0.90
Pair 58[7]: Avg MSE: 306.35, Avg SSIM: 0.90
Pair 58[8]: Avg MSE: 315.20, Avg SSIM: 0.90
Pair 58[9]: Avg MSE: 320.66, Avg SSIM: 0.90
Pair 58[10]: Avg MSE: 326.85, Avg SSIM: 0.90
Pair 59[1]: Avg MSE: 574.34, Avg SSIM: 0.84
Pair 59[2]: Avg MSE: 595.16, Avg SSIM: 0.84
Pair 59[3]: Avg MSE: 616.83, Avg SSIM: 0.83
Pair 59[4]: Avg MSE: 634.09, Avg SSIM: 0.83
Pair 59[5]: Avg MSE: 658.04, Avg SSIM: 0.83
Pair 59[6]: Avg MSE: 680.99, Avg SSIM: 0.83
Pair 59[7]: Avg MSE: 702.32, Avg SSIM: 0.83
Pair 59[8]: Avg MSE: 721.26, Avg SSIM: 0.83
Pair 59[9]: Avg MSE: 737.60, Avg SSIM: 0.83
Pair 59[10]: Avg MSE: 754.56, Avg SSIM: 0.82
Pair 60[1]: Avg MSE: 572.84, Avg SSIM: 0.83
Pair 60[2]: Avg MSE: 591.80, Avg SSIM: 0.82
Pair 60[3]: Avg MSE: 617.43, Avg SSIM: 0.82
Pair 60[4]: Avg MSE: 634.80, Avg SSIM: 0.82
Pair 60[5]: Avg MSE: 655.50, Avg SSIM: 0.82
Pair 60[6]: Avg MSE: 678.25, Avg SSIM: 0.82
Pair 60[7]: Avg MSE: 699.75, Avg SSIM: 0.81
Pair 60[8]: Avg MSE: 722.66, Avg SSIM: 0.81
Pair 60[9]: Avg MSE: 738.88, Avg SSIM: 0.81
Pair 60[10]: Avg MSE: 755.10, Avg SSIM: 0.81
Pair 61[1]: Avg MSE: 723.85, Avg SSIM: 0.83
Pair 61[2]: Avg MSE: 738.35, Avg SSIM: 0.83
Pair 61[3]: Avg MSE: 754.19, Avg SSIM: 0.83
Pair 61[4]: Avg MSE: 769.35, Avg SSIM: 0.83
Pair 61[5]: Avg MSE: 788.84, Avg SSIM: 0.82
Pair 61[6]: Avg MSE: 808.26, Avg SSIM: 0.82
Pair 61[7]: Avg MSE: 826.37, Avg SSIM: 0.82
Pair 61[8]: Avg MSE: 841.90, Avg SSIM: 0.82
Pair 61[9]: Avg MSE: 855.15, Avg SSIM: 0.82
Pair 61[10]: Avg MSE: 869.23, Avg SSIM: 0.82
Pair 62[1]: Avg MSE: 352.61, Avg SSIM: 0.91
Pair 62[2]: Avg MSE: 365.72, Avg SSIM: 0.91
Pair 62[3]: Avg MSE: 377.36, Avg SSIM: 0.91
Pair 62[4]: Avg MSE: 387.02, Avg SSIM: 0.91
Pair 62[5]: Avg MSE: 398.32, Avg SSIM: 0.91
Pair 62[6]: Avg MSE: 409.00, Avg SSIM: 0.91
Pair 62[7]: Avg MSE: 420.06, Avg SSIM: 0.91
Pair 62[8]: Avg MSE: 432.38, Avg SSIM: 0.91
Pair 62[9]: Avg MSE: 441.86, Avg SSIM: 0.90
Pair 62[10]: Avg MSE: 449.23, Avg SSIM: 0.90
Pair 63[1]: Avg MSE: 339.94, Avg SSIM: 0.91
Pair 63[2]: Avg MSE: 353.37, Avg SSIM: 0.91
Pair 63[3]: Avg MSE: 364.82, Avg SSIM: 0.90
Pair 63[4]: Avg MSE: 376.15, Avg SSIM: 0.90
Pair 63[5]: Avg MSE: 387.84, Avg SSIM: 0.90
Pair 63[6]: Avg MSE: 399.92, Avg SSIM: 0.90
Pair 63[7]: Avg MSE: 410.61, Avg SSIM: 0.90
Pair 63[8]: Avg MSE: 421.79, Avg SSIM: 0.90
Pair 63[9]: Avg MSE: 430.27, Avg SSIM: 0.90
Pair 63[10]: Avg MSE: 438.53, Avg SSIM: 0.90
Pair 64[1]: Avg MSE: 153.82, Avg SSIM: 0.92
Pair 64[2]: Avg MSE: 162.58, Avg SSIM: 0.92
Pair 64[3]: Avg MSE: 170.80, Avg SSIM: 0.92
Pair 64[4]: Avg MSE: 176.73, Avg SSIM: 0.92
Pair 64[5]: Avg MSE: 182.85, Avg SSIM: 0.92
Pair 64[6]: Avg MSE: 189.67, Avg SSIM: 0.92
Pair 64[7]: Avg MSE: 196.59, Avg SSIM: 0.92
Pair 64[8]: Avg MSE: 204.82, Avg SSIM: 0.92
Pair 64[9]: Avg MSE: 210.70, Avg SSIM: 0.92
Pair 64[10]: Avg MSE: 216.19, Avg SSIM: 0.91
Pair 65[1]: Avg MSE: 347.82, Avg SSIM: 0.87
Pair 65[2]: Avg MSE: 362.10, Avg SSIM: 0.87
Pair 65[3]: Avg MSE: 374.96, Avg SSIM: 0.87
Pair 65[4]: Avg MSE: 383.93, Avg SSIM: 0.87
Pair 65[5]: Avg MSE: 396.52, Avg SSIM: 0.87
Pair 65[6]: Avg MSE: 410.98, Avg SSIM: 0.86
Pair 65[7]: Avg MSE: 426.74, Avg SSIM: 0.86
Pair 65[8]: Avg MSE: 441.03, Avg SSIM: 0.86
Pair 65[9]: Avg MSE: 449.91, Avg SSIM: 0.86
Pair 65[10]: Avg MSE: 460.24, Avg SSIM: 0.86
Pair 66[1]: Avg MSE: 202.33, Avg SSIM: 0.94
Pair 66[2]: Avg MSE: 210.69, Avg SSIM: 0.94
Pair 66[3]: Avg MSE: 219.58, Avg SSIM: 0.94
Pair 66[4]: Avg MSE: 228.72, Avg SSIM: 0.94
Pair 66[5]: Avg MSE: 236.86, Avg SSIM: 0.94
Pair 66[6]: Avg MSE: 243.68, Avg SSIM: 0.94
Pair 66[7]: Avg MSE: 251.06, Avg SSIM: 0.93
Pair 66[8]: Avg MSE: 257.13, Avg SSIM: 0.93
Pair 66[9]: Avg MSE: 262.67, Avg SSIM: 0.93
Pair 66[10]: Avg MSE: 268.22, Avg SSIM: 0.93
Pair 67[1]: Avg MSE: 243.07, Avg SSIM: 0.92
Pair 67[2]: Avg MSE: 255.92, Avg SSIM: 0.92
Pair 67[3]: Avg MSE: 267.28, Avg SSIM: 0.92
Pair 67[4]: Avg MSE: 278.21, Avg SSIM: 0.91
Pair 67[5]: Avg MSE: 288.98, Avg SSIM: 0.91
Pair 67[6]: Avg MSE: 300.17, Avg SSIM: 0.91
Pair 67[7]: Avg MSE: 311.61, Avg SSIM: 0.91
Pair 67[8]: Avg MSE: 323.80, Avg SSIM: 0.91
Pair 67[9]: Avg MSE: 332.89, Avg SSIM: 0.91
Pair 67[10]: Avg MSE: 341.31, Avg SSIM: 0.91
Pair 68[1]: Avg MSE: 322.49, Avg SSIM: 0.87
Pair 68[2]: Avg MSE: 339.45, Avg SSIM: 0.87
Pair 68[3]: Avg MSE: 359.35, Avg SSIM: 0.87
Pair 68[4]: Avg MSE: 374.60, Avg SSIM: 0.87
Pair 68[5]: Avg MSE: 388.52, Avg SSIM: 0.87
Pair 68[6]: Avg MSE: 405.98, Avg SSIM: 0.86
Pair 68[7]: Avg MSE: 419.23, Avg SSIM: 0.86
Pair 68[8]: Avg MSE: 437.26, Avg SSIM: 0.86
Pair 68[9]: Avg MSE: 449.97, Avg SSIM: 0.86
Pair 68[10]: Avg MSE: 461.78, Avg SSIM: 0.86
Pair 69[1]: Avg MSE: 488.39, Avg SSIM: 0.86
Pair 69[2]: Avg MSE: 507.74, Avg SSIM: 0.86
Pair 69[3]: Avg MSE: 527.13, Avg SSIM: 0.86
Pair 69[4]: Avg MSE: 544.55, Avg SSIM: 0.86
Pair 69[5]: Avg MSE: 560.75, Avg SSIM: 0.86
Pair 69[6]: Avg MSE: 580.09, Avg SSIM: 0.86
Pair 69[7]: Avg MSE: 597.10, Avg SSIM: 0.86
Pair 69[8]: Avg MSE: 614.44, Avg SSIM: 0.85
Pair 69[9]: Avg MSE: 627.63, Avg SSIM: 0.85
Pair 69[10]: Avg MSE: 640.99, Avg SSIM: 0.85
Pair 70[1]: Avg MSE: 253.23, Avg SSIM: 0.87
Pair 70[2]: Avg MSE: 262.01, Avg SSIM: 0.87
Pair 70[3]: Avg MSE: 269.86, Avg SSIM: 0.87
Pair 70[4]: Avg MSE: 276.23, Avg SSIM: 0.87
Pair 70[5]: Avg MSE: 283.52, Avg SSIM: 0.87
Pair 70[6]: Avg MSE: 291.93, Avg SSIM: 0.87
Pair 70[7]: Avg MSE: 302.27, Avg SSIM: 0.87
Pair 70[8]: Avg MSE: 312.53, Avg SSIM: 0.87
Pair 70[9]: Avg MSE: 317.94, Avg SSIM: 0.87
Pair 70[10]: Avg MSE: 324.33, Avg SSIM: 0.87
Pair 71[1]: Avg MSE: 443.85, Avg SSIM: 0.87
Pair 71[2]: Avg MSE: 459.25, Avg SSIM: 0.86
Pair 71[3]: Avg MSE: 475.63, Avg SSIM: 0.86
Pair 71[4]: Avg MSE: 488.87, Avg SSIM: 0.86
Pair 71[5]: Avg MSE: 506.21, Avg SSIM: 0.86
Pair 71[6]: Avg MSE: 524.02, Avg SSIM: 0.86
Pair 71[7]: Avg MSE: 541.01, Avg SSIM: 0.86
Pair 71[8]: Avg MSE: 557.29, Avg SSIM: 0.86
Pair 71[9]: Avg MSE: 569.45, Avg SSIM: 0.86
Pair 71[10]: Avg MSE: 584.35, Avg SSIM: 0.85
Pair 72[1]: Avg MSE: 294.11, Avg SSIM: 0.90
Pair 72[2]: Avg MSE: 302.40, Avg SSIM: 0.90
Pair 72[3]: Avg MSE: 309.49, Avg SSIM: 0.90
Pair 72[4]: Avg MSE: 316.06, Avg SSIM: 0.90
Pair 72[5]: Avg MSE: 322.79, Avg SSIM: 0.90
Pair 72[6]: Avg MSE: 330.21, Avg SSIM: 0.90
Pair 72[7]: Avg MSE: 337.58, Avg SSIM: 0.89
Pair 72[8]: Avg MSE: 347.68, Avg SSIM: 0.89
Pair 72[9]: Avg MSE: 353.77, Avg SSIM: 0.89
Pair 72[10]: Avg MSE: 359.74, Avg SSIM: 0.89
Pair 73[1]: Avg MSE: 343.05, Avg SSIM: 0.91
Pair 73[2]: Avg MSE: 368.80, Avg SSIM: 0.91
Pair 73[3]: Avg MSE: 397.53, Avg SSIM: 0.90
Pair 73[4]: Avg MSE: 422.85, Avg SSIM: 0.90
Pair 73[5]: Avg MSE: 447.66, Avg SSIM: 0.90
Pair 73[6]: Avg MSE: 472.74, Avg SSIM: 0.90
Pair 73[7]: Avg MSE: 496.42, Avg SSIM: 0.90
Pair 73[8]: Avg MSE: 519.29, Avg SSIM: 0.89
Pair 73[9]: Avg MSE: 537.76, Avg SSIM: 0.89
Pair 73[10]: Avg MSE: 557.39, Avg SSIM: 0.89
Pair 74[1]: Avg MSE: 343.11, Avg SSIM: 0.89
Pair 74[2]: Avg MSE: 355.56, Avg SSIM: 0.89
Pair 74[3]: Avg MSE: 367.78, Avg SSIM: 0.88
Pair 74[4]: Avg MSE: 378.15, Avg SSIM: 0.88
Pair 74[5]: Avg MSE: 389.21, Avg SSIM: 0.88
Pair 74[6]: Avg MSE: 401.53, Avg SSIM: 0.88
Pair 74[7]: Avg MSE: 413.81, Avg SSIM: 0.88
Pair 74[8]: Avg MSE: 423.41, Avg SSIM: 0.88
Pair 74[9]: Avg MSE: 431.14, Avg SSIM: 0.88
Pair 74[10]: Avg MSE: 442.57, Avg SSIM: 0.88
Pair 75[1]: Avg MSE: 325.71, Avg SSIM: 0.90
Pair 75[2]: Avg MSE: 336.15, Avg SSIM: 0.90
Pair 75[3]: Avg MSE: 347.23, Avg SSIM: 0.90
Pair 75[4]: Avg MSE: 355.28, Avg SSIM: 0.90
Pair 75[5]: Avg MSE: 366.29, Avg SSIM: 0.89
Pair 75[6]: Avg MSE: 378.59, Avg SSIM: 0.89
Pair 75[7]: Avg MSE: 389.21, Avg SSIM: 0.89
Pair 75[8]: Avg MSE: 400.99, Avg SSIM: 0.89
Pair 75[9]: Avg MSE: 408.14, Avg SSIM: 0.89
Pair 75[10]: Avg MSE: 417.15, Avg SSIM: 0.89
Pair 76[1]: Avg MSE: 105.21, Avg SSIM: 0.95
Pair 76[2]: Avg MSE: 109.02, Avg SSIM: 0.95
Pair 76[3]: Avg MSE: 111.97, Avg SSIM: 0.95
Pair 76[4]: Avg MSE: 115.73, Avg SSIM: 0.95
Pair 76[5]: Avg MSE: 118.70, Avg SSIM: 0.95
Pair 76[6]: Avg MSE: 121.68, Avg SSIM: 0.95
Pair 76[7]: Avg MSE: 124.91, Avg SSIM: 0.95
Pair 76[8]: Avg MSE: 128.06, Avg SSIM: 0.95
Pair 76[9]: Avg MSE: 131.49, Avg SSIM: 0.95
Pair 76[10]: Avg MSE: 133.81, Avg SSIM: 0.95
Pair 77[1]: Avg MSE: 409.34, Avg SSIM: 0.86
Pair 77[2]: Avg MSE: 426.49, Avg SSIM: 0.86
Pair 77[3]: Avg MSE: 445.51, Avg SSIM: 0.86
Pair 77[4]: Avg MSE: 462.35, Avg SSIM: 0.86
Pair 77[5]: Avg MSE: 481.40, Avg SSIM: 0.86
Pair 77[6]: Avg MSE: 501.01, Avg SSIM: 0.85
Pair 77[7]: Avg MSE: 518.38, Avg SSIM: 0.85
Pair 77[8]: Avg MSE: 534.28, Avg SSIM: 0.85
Pair 77[9]: Avg MSE: 548.38, Avg SSIM: 0.85
Pair 77[10]: Avg MSE: 563.07, Avg SSIM: 0.85
Pair 78[1]: Avg MSE: 118.75, Avg SSIM: 0.94
Pair 78[2]: Avg MSE: 125.15, Avg SSIM: 0.94
Pair 78[3]: Avg MSE: 131.22, Avg SSIM: 0.94
Pair 78[4]: Avg MSE: 135.83, Avg SSIM: 0.94
Pair 78[5]: Avg MSE: 141.05, Avg SSIM: 0.94
Pair 78[6]: Avg MSE: 146.78, Avg SSIM: 0.94
Pair 78[7]: Avg MSE: 152.60, Avg SSIM: 0.94
Pair 78[8]: Avg MSE: 158.38, Avg SSIM: 0.94
Pair 78[9]: Avg MSE: 163.32, Avg SSIM: 0.94
Pair 78[10]: Avg MSE: 166.82, Avg SSIM: 0.94
Pair 79[1]: Avg MSE: 278.36, Avg SSIM: 0.92
Pair 79[2]: Avg MSE: 291.48, Avg SSIM: 0.92
Pair 79[3]: Avg MSE: 304.99, Avg SSIM: 0.92
Pair 79[4]: Avg MSE: 316.58, Avg SSIM: 0.92
Pair 79[5]: Avg MSE: 328.36, Avg SSIM: 0.92
Pair 79[6]: Avg MSE: 338.28, Avg SSIM: 0.92
Pair 79[7]: Avg MSE: 348.23, Avg SSIM: 0.92
Pair 79[8]: Avg MSE: 357.08, Avg SSIM: 0.92
Pair 79[9]: Avg MSE: 365.76, Avg SSIM: 0.92
Pair 79[10]: Avg MSE: 373.59, Avg SSIM: 0.92
Pair 80[1]: Avg MSE: 337.98, Avg SSIM: 0.87
Pair 80[2]: Avg MSE: 356.02, Avg SSIM: 0.87
Pair 80[3]: Avg MSE: 371.43, Avg SSIM: 0.87
Pair 80[4]: Avg MSE: 385.46, Avg SSIM: 0.86
Pair 80[5]: Avg MSE: 400.65, Avg SSIM: 0.86
Pair 80[6]: Avg MSE: 414.49, Avg SSIM: 0.86
Pair 80[7]: Avg MSE: 429.96, Avg SSIM: 0.86
Pair 80[8]: Avg MSE: 444.43, Avg SSIM: 0.86
Pair 80[9]: Avg MSE: 456.45, Avg SSIM: 0.86
Pair 80[10]: Avg MSE: 467.35, Avg SSIM: 0.86
Pair 81[1]: Avg MSE: 222.78, Avg SSIM: 0.90
Pair 81[2]: Avg MSE: 234.57, Avg SSIM: 0.90
Pair 81[3]: Avg MSE: 246.59, Avg SSIM: 0.90
Pair 81[4]: Avg MSE: 255.28, Avg SSIM: 0.90
Pair 81[5]: Avg MSE: 263.90, Avg SSIM: 0.90
Pair 81[6]: Avg MSE: 275.33, Avg SSIM: 0.90
Pair 81[7]: Avg MSE: 286.47, Avg SSIM: 0.89
Pair 81[8]: Avg MSE: 298.08, Avg SSIM: 0.89
Pair 81[9]: Avg MSE: 306.14, Avg SSIM: 0.89
Pair 81[10]: Avg MSE: 314.93, Avg SSIM: 0.89
